Assembly	MEGAHIT-group-TDM032
# contigs (>= 0 bp)	33565
# contigs (>= 1000 bp)	9462
# contigs (>= 5000 bp)	1510
# contigs (>= 10000 bp)	579
# contigs (>= 25000 bp)	73
# contigs (>= 50000 bp)	4
Total length (>= 0 bp)	44804402
Total length (>= 1000 bp)	32640380
Total length (>= 5000 bp)	16457433
Total length (>= 10000 bp)	9961079
Total length (>= 25000 bp)	2449936
Total length (>= 50000 bp)	213741
# contigs	19225
Largest contig	58196
Total length	39411827
GC (%)	61.29
N50	3605
N75	1381
L50	2279
L75	6840
# N's per 100 kbp	0.00
# predicted rRNA genes	10 + 2 part
