Assembly	MEGAHIT-group-TDM010
# contigs (>= 0 bp)	69972
# contigs (>= 1000 bp)	16524
# contigs (>= 5000 bp)	1419
# contigs (>= 10000 bp)	429
# contigs (>= 25000 bp)	47
# contigs (>= 50000 bp)	5
Total length (>= 0 bp)	69340663
Total length (>= 1000 bp)	41694597
Total length (>= 5000 bp)	13936769
Total length (>= 10000 bp)	7201163
Total length (>= 25000 bp)	1657679
Total length (>= 50000 bp)	308556
# contigs	39781
Largest contig	79957
Total length	57806605
GC (%)	63.19
N50	1824
N75	930
L50	6821
L75	18248
# N's per 100 kbp	0.00
# predicted rRNA genes	7 + 1 part
