Assembly	MEGAHIT-group-TDM056
# contigs (>= 0 bp)	27574
# contigs (>= 1000 bp)	4754
# contigs (>= 5000 bp)	798
# contigs (>= 10000 bp)	303
# contigs (>= 25000 bp)	53
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	27819860
Total length (>= 1000 bp)	17030838
Total length (>= 5000 bp)	9347350
Total length (>= 10000 bp)	5861898
Total length (>= 25000 bp)	2179262
Total length (>= 50000 bp)	684628
# contigs	12253
Largest contig	133388
Total length	22085076
GC (%)	61.91
N50	3415
N75	1075
L50	1211
L75	4305
# N's per 100 kbp	0.00
# predicted rRNA genes	2 + 2 part
