Assembly	MEGAHIT-group-EXB080_A1101
# contigs (>= 0 bp)	6574
# contigs (>= 1000 bp)	103
# contigs (>= 5000 bp)	7
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	2341815
Total length (>= 1000 bp)	211712
Total length (>= 5000 bp)	52371
Total length (>= 10000 bp)	12257
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	537
Largest contig	12257
Total length	489057
GC (%)	49.31
N50	877
N75	605
L50	139
L75	313
# N's per 100 kbp	0.00
# predicted rRNA genes	0 + 1 part
