Assembly	MEGAHIT-group-TDM051
# contigs (>= 0 bp)	28389
# contigs (>= 1000 bp)	3165
# contigs (>= 5000 bp)	43
# contigs (>= 10000 bp)	6
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	17401075
Total length (>= 1000 bp)	5332928
Total length (>= 5000 bp)	320906
Total length (>= 10000 bp)	84664
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11757
Largest contig	19095
Total length	11154548
GC (%)	62.95
N50	966
N75	673
L50	3414
L75	6917
# N's per 100 kbp	0.00
# predicted rRNA genes	1 + 1 part
