Assembly	MEGAHIT-group-TDM043
# contigs (>= 0 bp)	2284
# contigs (>= 1000 bp)	20
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	751355
Total length (>= 1000 bp)	27103
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	136
Largest contig	1968
Total length	99391
GC (%)	61.49
N50	677
N75	557
L50	49
L75	90
# N's per 100 kbp	0.00
# predicted rRNA genes	0 + 0 part
