Assembly	MEGAHIT-group-TDM042
# contigs (>= 0 bp)	24153
# contigs (>= 1000 bp)	5493
# contigs (>= 5000 bp)	337
# contigs (>= 10000 bp)	43
# contigs (>= 25000 bp)	2
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	20639069
Total length (>= 1000 bp)	12307134
Total length (>= 5000 bp)	2513970
Total length (>= 10000 bp)	598312
Total length (>= 25000 bp)	57145
Total length (>= 50000 bp)	0
# contigs	11310
Largest contig	30279
Total length	16396878
GC (%)	59.11
N50	1806
N75	1001
L50	2400
L75	5484
# N's per 100 kbp	0.00
# predicted rRNA genes	3 + 0 part
