Assembly	MEGAHIT-group-EXB080_A1401
# contigs (>= 0 bp)	3975
# contigs (>= 1000 bp)	225
# contigs (>= 5000 bp)	9
# contigs (>= 10000 bp)	3
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	2028478
Total length (>= 1000 bp)	448563
Total length (>= 5000 bp)	79309
Total length (>= 10000 bp)	37502
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	965
Largest contig	15592
Total length	929474
GC (%)	55.14
N50	956
N75	631
L50	242
L75	550
# N's per 100 kbp	0.00
# predicted rRNA genes	0 + 0 part
