Assembly	MEGAHIT-group-TDM057
# contigs (>= 0 bp)	19352
# contigs (>= 1000 bp)	3579
# contigs (>= 5000 bp)	808
# contigs (>= 10000 bp)	320
# contigs (>= 25000 bp)	44
# contigs (>= 50000 bp)	5
Total length (>= 0 bp)	22299424
Total length (>= 1000 bp)	15058179
Total length (>= 5000 bp)	9255462
Total length (>= 10000 bp)	5848618
Total length (>= 25000 bp)	1762791
Total length (>= 50000 bp)	472721
# contigs	8192
Largest contig	148757
Total length	18143387
GC (%)	63.09
N50	5232
N75	1550
L50	772
L75	2400
# N's per 100 kbp	0.00
# predicted rRNA genes	5 + 2 part
