Assembly	MEGAHIT-group-TDM003
# contigs (>= 0 bp)	65595
# contigs (>= 1000 bp)	19664
# contigs (>= 5000 bp)	2300
# contigs (>= 10000 bp)	711
# contigs (>= 25000 bp)	96
# contigs (>= 50000 bp)	11
Total length (>= 0 bp)	81330653
Total length (>= 1000 bp)	57592142
Total length (>= 5000 bp)	23221815
Total length (>= 10000 bp)	12280131
Total length (>= 25000 bp)	3408303
Total length (>= 50000 bp)	701315
# contigs	39515
Largest contig	85106
Total length	71384204
GC (%)	61.29
N50	2697
N75	1207
L50	5784
L75	15971
# N's per 100 kbp	0.00
# predicted rRNA genes	7 + 4 part
