Assembly	MEGAHIT-group-TDM059
# contigs (>= 0 bp)	21098
# contigs (>= 1000 bp)	4415
# contigs (>= 5000 bp)	336
# contigs (>= 10000 bp)	103
# contigs (>= 25000 bp)	23
# contigs (>= 50000 bp)	4
Total length (>= 0 bp)	19585455
Total length (>= 1000 bp)	11339342
Total length (>= 5000 bp)	3701708
Total length (>= 10000 bp)	2121564
Total length (>= 25000 bp)	944438
Total length (>= 50000 bp)	264698
# contigs	10781
Largest contig	86902
Total length	15711053
GC (%)	62.43
N50	1851
N75	927
L50	1800
L75	4878
# N's per 100 kbp	0.00
# predicted rRNA genes	3 + 0 part
