Assembly	MEGAHIT-group-TDM044
# contigs (>= 0 bp)	5098
# contigs (>= 1000 bp)	130
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	2068432
Total length (>= 1000 bp)	175733
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	975
Largest contig	4670
Total length	727905
GC (%)	57.17
N50	721
N75	591
L50	358
L75	639
# N's per 100 kbp	0.00
# predicted rRNA genes	0 + 0 part
