Assembly	MEGAHIT-group-EXB080_A1001
# contigs (>= 0 bp)	4341
# contigs (>= 1000 bp)	121
# contigs (>= 5000 bp)	10
# contigs (>= 10000 bp)	3
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	1747513
Total length (>= 1000 bp)	298565
Total length (>= 5000 bp)	91966
Total length (>= 10000 bp)	40021
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	557
Largest contig	15600
Total length	583130
GC (%)	44.82
N50	1066
N75	655
L50	115
L75	298
# N's per 100 kbp	0.00
# predicted rRNA genes	1 + 0 part
