Assembly	MEGAHIT-group-TDM029
# contigs (>= 0 bp)	49519
# contigs (>= 1000 bp)	8558
# contigs (>= 5000 bp)	528
# contigs (>= 10000 bp)	86
# contigs (>= 25000 bp)	4
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	39109896
Total length (>= 1000 bp)	18813302
Total length (>= 5000 bp)	4108212
Total length (>= 10000 bp)	1247607
Total length (>= 25000 bp)	146859
Total length (>= 50000 bp)	52589
# contigs	24247
Largest contig	52589
Total length	29556162
GC (%)	65.03
N50	1381
N75	793
L50	5091
L75	12344
# N's per 100 kbp	0.00
# predicted rRNA genes	1 + 1 part
