Assembly	MEGAHIT-group-TDM017
# contigs (>= 0 bp)	55289
# contigs (>= 1000 bp)	12060
# contigs (>= 5000 bp)	613
# contigs (>= 10000 bp)	124
# contigs (>= 25000 bp)	12
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	48044553
Total length (>= 1000 bp)	25868847
Total length (>= 5000 bp)	5114837
Total length (>= 10000 bp)	1877604
Total length (>= 25000 bp)	382103
Total length (>= 50000 bp)	0
# contigs	30497
Largest contig	41809
Total length	38599403
GC (%)	61.71
N50	1468
N75	841
L50	6592
L75	15426
# N's per 100 kbp	0.00
# predicted rRNA genes	1 + 1 part
