Assembly	MEGAHIT-group-EXB080_A0102
# contigs (>= 0 bp)	658
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	170283
Total length (>= 1000 bp)	1721
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	1721
Total length	10081
GC (%)	55.87
N50	820
N75	612
L50	5
L75	9
# N's per 100 kbp	0.00
# predicted rRNA genes	0 + 0 part
