Assembly	MEGAHIT-group-TDM024
# contigs (>= 0 bp)	51687
# contigs (>= 1000 bp)	8414
# contigs (>= 5000 bp)	342
# contigs (>= 10000 bp)	28
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	38034926
Total length (>= 1000 bp)	17128729
Total length (>= 5000 bp)	2339954
Total length (>= 10000 bp)	335399
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	23722
Largest contig	17368
Total length	27499966
GC (%)	62.07
N50	1333
N75	767
L50	5474
L75	12433
# N's per 100 kbp	0.00
# predicted rRNA genes	5 + 0 part
