Assembly	MEGAHIT-group-TDM027
# contigs (>= 0 bp)	48475
# contigs (>= 1000 bp)	7769
# contigs (>= 5000 bp)	247
# contigs (>= 10000 bp)	43
# contigs (>= 25000 bp)	8
# contigs (>= 50000 bp)	2
Total length (>= 0 bp)	34648094
Total length (>= 1000 bp)	14699741
Total length (>= 5000 bp)	2110906
Total length (>= 10000 bp)	803228
Total length (>= 25000 bp)	294625
Total length (>= 50000 bp)	116162
# contigs	22798
Largest contig	62631
Total length	24971711
GC (%)	65.67
N50	1194
N75	748
L50	5738
L75	12463
# N's per 100 kbp	0.00
# predicted rRNA genes	7 + 1 part
