Assembly	MEGAHIT-group-TDM031
# contigs (>= 0 bp)	66849
# contigs (>= 1000 bp)	12424
# contigs (>= 5000 bp)	834
# contigs (>= 10000 bp)	200
# contigs (>= 25000 bp)	6
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	55324350
Total length (>= 1000 bp)	27981500
Total length (>= 5000 bp)	7287309
Total length (>= 10000 bp)	2956769
Total length (>= 25000 bp)	225905
Total length (>= 50000 bp)	0
# contigs	34188
Largest contig	47824
Total length	42913182
GC (%)	62.13
N50	1437
N75	813
L50	6920
L75	17102
# N's per 100 kbp	0.00
# predicted rRNA genes	5 + 0 part
