Assembly	MEGAHIT-group-TDM001
# contigs (>= 0 bp)	101740
# contigs (>= 1000 bp)	25203
# contigs (>= 5000 bp)	2535
# contigs (>= 10000 bp)	653
# contigs (>= 25000 bp)	63
# contigs (>= 50000 bp)	6
Total length (>= 0 bp)	106107916
Total length (>= 1000 bp)	67138443
Total length (>= 5000 bp)	23358960
Total length (>= 10000 bp)	10628344
Total length (>= 25000 bp)	2382307
Total length (>= 50000 bp)	516332
# contigs	56945
Largest contig	191337
Total length	88963704
GC (%)	60.53
N50	2149
N75	1013
L50	9307
L75	24790
# N's per 100 kbp	0.00
# predicted rRNA genes	11 + 1 part
