Assembly	MEGAHIT-group-TDM011
# contigs (>= 0 bp)	48712
# contigs (>= 1000 bp)	11294
# contigs (>= 5000 bp)	1333
# contigs (>= 10000 bp)	405
# contigs (>= 25000 bp)	46
# contigs (>= 50000 bp)	8
Total length (>= 0 bp)	51012858
Total length (>= 1000 bp)	32561611
Total length (>= 5000 bp)	13145439
Total length (>= 10000 bp)	6867785
Total length (>= 25000 bp)	1707181
Total length (>= 50000 bp)	495063
# contigs	25317
Largest contig	80880
Total length	42186508
GC (%)	61.90
N50	2419
N75	1074
L50	3681
L75	10406
# N's per 100 kbp	0.00
# predicted rRNA genes	7 + 0 part
