Assembly	MEGAHIT-group-TDM048
# contigs (>= 0 bp)	25638
# contigs (>= 1000 bp)	5425
# contigs (>= 5000 bp)	418
# contigs (>= 10000 bp)	116
# contigs (>= 25000 bp)	12
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	22629738
Total length (>= 1000 bp)	13232010
Total length (>= 5000 bp)	3938578
Total length (>= 10000 bp)	1890011
Total length (>= 25000 bp)	377884
Total length (>= 50000 bp)	0
# contigs	12451
Largest contig	48507
Total length	18148936
GC (%)	59.85
N50	1824
N75	951
L50	2275
L75	5815
# N's per 100 kbp	0.00
# predicted rRNA genes	3 + 0 part
