Assembly	MEGAHIT-group-TDM061
# contigs (>= 0 bp)	32445
# contigs (>= 1000 bp)	5193
# contigs (>= 5000 bp)	444
# contigs (>= 10000 bp)	116
# contigs (>= 25000 bp)	10
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	25807370
Total length (>= 1000 bp)	12467167
Total length (>= 5000 bp)	4000344
Total length (>= 10000 bp)	1769720
Total length (>= 25000 bp)	311930
Total length (>= 50000 bp)	0
# contigs	15204
Largest contig	40353
Total length	19267175
GC (%)	62.77
N50	1460
N75	796
L50	2821
L75	7423
# N's per 100 kbp	0.00
# predicted rRNA genes	4 + 1 part
