#Notes:;;;;
#Stalage + and Stalage - are upper and lower 95% CI;;;;
#Age in yrs BP = years before 1950 CE;;;;
Depth from top of stal (mm);Depth (cm);Age (yrs BP);Stalage +;Stalage -
399,75;39,975;19466;19543;19388
400,25;40,025;19512;19590;19433
400,75;40,075;19557;19636;19477
401,25;40,125;19603;19683;19521
401,75;40,175;19649;19729;19566
402,25;40,225;19694;19775;19610
402,75;40,275;19739;19823;19654
403,25;40,325;19785;19870;19699
403,75;40,375;19830;19918;19743
404,25;40,425;19875;19966;19787
404,75;40,475;19921;20013;19831
405,25;40,525;19966;20061;19876
405,75;40,575;20012;20108;19920
406,25;40,625;20057;20156;19964
406,75;40,675;20103;20203;20008
407,25;40,725;20148;20249;20052
407,75;40,775;20193;20296;20096
408,25;40,825;20238;20343;20140
408,75;40,875;20283;20389;20184
409,25;40,925;20328;20436;20228
409,75;40,975;20373;20482;20271
410,25;41,025;20419;20529;20315
410,75;41,075;20464;20576;20359
411,25;41,125;20510;20622;20403
411,75;41,175;20556;20669;20447
412,25;41,225;20601;20717;20491
412,75;41,275;20646;20764;20535
413,25;41,325;20691;20812;20579
413,75;41,375;20736;20859;20622
414,25;41,425;20782;20906;20666
414,75;41,475;20827;20952;20710
415,25;41,525;20872;20999;20754
415,75;41,575;20933;21060;20815
416,25;41,625;20994;21121;20876
416,75;41,675;21054;21181;20937
417,25;41,725;21115;21242;20998
417,75;41,775;21176;21303;21058
418,25;41,825;21236;21363;21119
418,75;41,875;21297;21424;21180
419,25;41,925;21358;21485;21241
419,75;41,975;21418;21545;21302
420,25;42,025;21479;21606;21363
420,75;42,075;21540;21667;21423
421,25;42,125;21601;21727;21484
421,75;42,175;21661;21788;21545
422,25;42,225;21722;21849;21606
422,75;42,275;21783;21909;21667
423,25;42,325;21843;21970;21728
423,75;42,375;21904;22031;21788
424,25;42,425;21965;22091;21849
424,75;42,475;22025;22152;21910
425,25;42,525;22086;22213;21971
425,75;42,575;22147;22273;22032
426,25;42,625;22207;22334;22093
426,75;42,675;22268;22395;22153
427,25;42,725;22329;22455;22214
427,75;42,775;22390;22516;22275
428,25;42,825;22450;22577;22336
428,75;42,875;22511;22637;22397
429,25;42,925;22572;22698;22458
429,75;42,975;22632;22759;22518
430,25;43,025;22693;22819;22579
430,75;43,075;22754;22880;22640
431,25;43,125;22814;22941;22701
431,75;43,175;22875;23001;22762
432,25;43,225;22936;23062;22822
432,75;43,275;22996;23123;22883
433,25;43,325;23057;23183;22944
433,75;43,375;23118;23244;23005
434,25;43,425;23179;23305;23066
434,75;43,475;23239;23365;23127
435,25;43,525;23300;23426;23187
435,75;43,575;23361;23487;23248
436,25;43,625;23421;23548;23309
436,75;43,675;23482;23608;23370
437,25;43,725;23543;23669;23431
437,75;43,775;23603;23730;23492
438,25;43,825;23664;23790;23552
438,75;43,875;23725;23851;23613
439,25;43,925;23785;23912;23674
439,75;43,975;23846;23972;23735
440,25;44,025;23907;24033;23796
440,75;44,075;23968;24094;23857
441,25;44,125;24028;24154;23917
441,75;44,175;24089;24215;23978
442,25;44,225;24150;24276;24039
442,75;44,275;24210;24336;24100
443,25;44,325;24271;24397;24161
443,75;44,375;24312;24434;24205
444,25;44,425;24353;24466;24248
444,75;44,475;24394;24495;24290
445,25;44,525;24435;24532;24332
445,75;44,575;24476;24586;24374
446,25;44,625;24517;24666;24416
446,75;44,675;24558;24772;24458
447,25;44,725;24600;24888;24500
447,75;44,775;24641;25001;24543
448,25;44,825;24683;25097;24585
448,75;44,875;24724;25169;24628
449,25;44,925;24765;25225;24670
449,75;44,975;24806;25270;24712
450,25;45,025;24848;25313;24754
450,75;45,075;24890;25355;24796
451,25;45,125;24932;25398;24837
451,75;45,175;24974;25442;24878
452,25;45,225;25017;25487;24920
452,75;45,275;25060;25533;24962
453,25;45,325;25104;25579;25005
453,75;45,375;25148;25623;25046
454,25;45,425;25193;25664;25088
454,75;45,475;25238;25702;25128
455,25;45,525;25283;25739;25168
455,75;45,575;25328;25774;25209
456,25;45,625;25373;25809;25250
456,75;45,675;25418;25844;25292
457,25;45,725;25464;25880;25333
457,75;45,775;25509;25918;25375
458,25;45,825;25556;25956;25415
458,75;45,875;25603;25996;25454
459,25;45,925;25650;26035;25493
459,75;45,975;25696;26073;25532
460,25;46,025;25740;26110;25572
460,75;46,075;25782;26143;25614
461,25;46,125;25823;26176;25655
461,75;46,175;25864;26207;25697
462,25;46,225;25905;26239;25738
462,75;46,275;25946;26271;25778
463,25;46,325;25987;26304;25818
463,75;46,375;26028;26336;25857
464,25;46,425;26067;26368;25897
464,75;46,475;26106;26400;25936
465,25;46,525;26144;26432;25975
465,75;46,575;26181;26464;26015
466,25;46,625;26219;26496;26054
466,75;46,675;26257;26528;26094
467,25;46,725;26295;26560;26134
467,75;46,775;26333;26592;26174
468,25;46,825;26373;26625;26213
468,75;46,875;26412;26657;26251
469,25;46,925;26453;26689;26289
469,75;46,975;26492;26722;26327
470,25;47,025;26532;26755;26366
470,75;47,075;26571;26788;26405
471,25;47,125;26609;26821;26445
471,75;47,175;26648;26855;26485
472,25;47,225;26687;26888;26525
472,75;47,275;26726;26922;26564
473,25;47,325;26766;26955;26603
473,75;47,375;26805;26988;26643
474,25;47,425;26844;27021;26682
474,75;47,475;26882;27054;26722
475,25;47,525;26920;27087;26762
475,75;47,575;26957;27121;26802
476,25;47,625;26995;27155;26842
476,75;47,675;27034;27191;26883
477,25;47,725;27072;27226;26923
477,75;47,775;27111;27261;26962
478,25;47,825;27149;27295;27001
478,75;47,875;27187;27327;27039
479,25;47,925;27225;27360;27076
479,75;47,975;27263;27395;27114
480,25;48,025;27300;27432;27152
480,75;48,075;27337;27471;27190
481,25;48,125;27373;27513;27229
481,75;48,175;27410;27555;27267
482,25;48,225;27447;27597;27304
482,75;48,275;27484;27639;27340
483,25;48,325;27521;27680;27376
483,75;48,375;27558;27722;27412
484,25;48,425;27596;27763;27448
484,75;48,475;27633;27805;27485
485,25;48,525;27671;27847;27521
485,75;48,575;27708;27889;27558
486,25;48,625;27744;27931;27595
486,75;48,675;27780;27973;27632
487,25;48,725;27815;28015;27669
487,75;48,775;27850;28055;27705
488,25;48,825;27885;28093;27742
488,75;48,875;27921;28130;27778
489,25;48,925;27957;28167;27814
489,75;48,975;27993;28204;27850
490,25;49,025;28029;28244;27886
490,75;49,075;28065;28285;27921
491,25;49,125;28100;28329;27957
491,75;49,175;28136;28372;27992
492,25;49,225;28171;28416;28028
492,75;49,275;28208;28459;28065
493,25;49,325;28244;28501;28101
493,75;49,375;28281;28543;28137
494,25;49,425;28317;28586;28173
494,75;49,475;28354;28628;28209
495,25;49,525;28389;28670;28243
495,75;49,575;28425;28712;28278
496,25;49,625;28461;28754;28313
496,75;49,675;28496;28797;28347
497,25;49,725;28532;28839;28382
497,75;49,775;28567;28882;28417
498,25;49,825;28602;28924;28451
498,75;49,875;28637;28967;28485
499,25;49,925;28671;29009;28519
499,75;49,975;28706;29052;28553
500,25;50,025;28742;29094;28588
500,75;50,075;28777;29137;28623
501,25;50,125;28813;29179;28659
501,75;50,175;28848;29222;28695
502,25;50,225;28883;29265;28730
502,75;50,275;28916;29308;28764
503,25;50,325;28949;29351;28798
503,75;50,375;28983;29394;28832
504,25;50,425;29017;29436;28865
504,75;50,475;29052;29477;28898
505,25;50,525;29087;29517;28931
505,75;50,575;29121;29558;28964
506,25;50,625;29153;29600;28997
506,75;50,675;29185;29641;29029
507,25;50,725;29215;29684;29062
507,75;50,775;29246;29725;29095
508,25;50,825;29277;29766;29129
508,75;50,875;29309;29805;29162
509,25;50,925;29341;29842;29196
509,75;50,975;29374;29875;29230
510,25;51,025;29405;29904;29263
510,75;51,075;29435;29928;29297
511,25;51,125;29465;29942;29329
511,75;51,175;29495;29952;29362
512,25;51,225;29525;29963;29395
512,75;51,275;29557;29973;29427
513,25;51,325;29589;29981;29460
513,75;51,375;29622;29983;29492
514,25;51,425;29655;29983;29523
514,75;51,475;29688;29983;29554
515,25;51,525;29721;29983;29584
515,75;51,575;29755;29983;29615
516,25;51,625;29788;29983;29646
516,75;51,675;29823;29990;29677
517,25;51,725;29857;30005;29711
517,75;51,775;29893;30040;29747
518,25;51,825;29929;30075;29784
518,75;51,875;29965;30109;29820
519,25;51,925;30001;30144;29857
519,75;51,975;30037;30179;29893
520,25;52,025;30073;30214;29930
520,75;52,075;30109;30248;29966
521,25;52,125;30144;30283;30003
521,75;52,175;30180;30318;30039
522,25;52,225;30216;30353;30076
522,75;52,275;30252;30387;30112
523,25;52,325;30288;30422;30149
523,75;52,375;30324;30457;30185
524,25;52,425;30360;30492;30222
524,75;52,475;30396;30526;30258
525,25;52,525;30432;30561;30295
525,75;52,575;30468;30596;30331
526,25;52,625;30504;30631;30368
526,75;52,675;30540;30665;30404
527,25;52,725;30576;30700;30441
527,75;52,775;30612;30735;30477
528,25;52,825;30648;30770;30514
528,75;52,875;30684;30804;30551
529,25;52,925;30720;30839;30587
529,75;52,975;30756;30874;30624
530,25;53,025;30792;30909;30660
530,75;53,075;30828;30943;30697
531,25;53,125;30864;30978;30733
531,75;53,175;30900;31013;30770
532,25;53,225;30936;31047;30806
532,75;53,275;30972;31082;30843
533,25;53,325;31008;31117;30879
533,75;53,375;31044;31152;30916
534,25;53,425;31080;31186;30952
534,75;53,475;31116;31221;30989
535,25;53,525;31152;31256;31025
535,75;53,575;31188;31291;31062
536,25;53,625;31224;31325;31098
536,75;53,675;31260;31360;31135
537,25;53,725;31296;31395;31171
537,75;53,775;31331;31430;31208
538,25;53,825;31367;31464;31244
538,75;53,875;31403;31499;31281
539,25;53,925;31439;31534;31317
539,75;53,975;31487;31581;31354
540,25;54,025;31536;31632;31386
540,75;54,075;31585;31688;31418
541,25;54,125;31635;31746;31454
541,75;54,175;31685;31804;31498
542,25;54,225;31735;31858;31555
542,75;54,275;31784;31909;31625
543,25;54,325;31833;31957;31701
543,75;54,375;31882;32004;31775
544,25;54,425;31930;32049;31842
544,75;54,475;31977;32095;31898
545,25;54,525;32023;32140;31948
545,75;54,575;32070;32186;31994
546,25;54,625;32116;32230;32040
546,75;54,675;32163;32275;32088
547,25;54,725;32210;32319;32136
547,75;54,775;32257;32363;32185
548,25;54,825;32304;32407;32233
548,75;54,875;32351;32452;32281
549,25;54,925;32397;32497;32328
549,75;54,975;32444;32541;32375
550,25;55,025;32491;32586;32422
550,75;55,075;32538;32631;32469
551,25;55,125;32585;32676;32516
551,75;55,175;32632;32720;32563
552,25;55,225;32679;32765;32610
552,75;55,275;32725;32810;32657
553,25;55,325;32772;32855;32704
553,75;55,375;32819;32901;32750
554,25;55,425;32866;32946;32796
554,75;55,475;32913;32992;32842
555,25;55,525;32961;33038;32888
555,75;55,575;33008;33085;32934
556,25;55,625;33055;33132;32981
556,75;55,675;33102;33179;33028
557,25;55,725;33148;33227;33074
557,75;55,775;33195;33274;33121
558,25;55,825;33241;33322;33168
558,75;55,875;33287;33368;33214
559,25;55,925;33333;33415;33260
559,75;55,975;33379;33462;33305
560,25;56,025;33426;33509;33351
560,75;56,075;33473;33557;33396
561,25;56,125;33520;33605;33441
561,75;56,175;33567;33653;33486
562,25;56,225;33613;33702;33532
562,75;56,275;33660;33751;33577
563,25;56,325;33706;33799;33622
563,75;56,375;33752;33849;33667
564,25;56,425;33798;33898;33712
564,75;56,475;33845;33947;33757
565,25;56,525;33892;33997;33802
565,75;56,575;33938;34047;33847
566,25;56,625;33985;34096;33892
566,75;56,675;34032;34145;33937
567,25;56,725;34078;34193;33982
567,75;56,775;34124;34241;34026
568,25;56,825;34171;34287;34070
568,75;56,875;34217;34333;34113
569,25;56,925;34263;34378;34156
569,75;56,975;34309;34422;34200
570,25;57,025;34355;34467;34243
570,75;57,075;34401;34513;34288
571,25;57,125;34448;34558;34333
571,75;57,175;34494;34604;34377
572,25;57,225;34540;34650;34421
572,75;57,275;34586;34696;34465
573,25;57,325;34631;34742;34509
573,75;57,375;34677;34788;34553
574,25;57,425;34723;34835;34597
574,75;57,475;34769;34881;34642
575,25;57,525;34816;34928;34686
575,75;57,575;34862;34976;34731
576,25;57,625;34909;35024;34775
576,75;57,675;34955;35073;34819
577,25;57,725;35002;35121;34862
577,75;57,775;35048;35170;34906
578,25;57,825;35095;35218;34949
578,75;57,875;35141;35265;34993
579,25;57,925;35187;35313;35036
579,75;57,975;35233;35360;35080
580,25;58,025;35280;35408;35123
580,75;58,075;35326;35457;35167
581,25;58,125;35372;35506;35210
581,75;58,175;35419;35554;35253
582,25;58,225;35465;35603;35297
582,75;58,275;35512;35651;35340
583,25;58,325;35558;35699;35384
583,75;58,375;35605;35747;35428
584,25;58,425;35651;35795;35472
584,75;58,475;35698;35843;35515
585,25;58,525;35744;35891;35559
585,75;58,575;35790;35939;35602
586,25;58,625;35837;35988;35646
586,75;58,675;35883;36036;35690
587,25;58,725;35929;36084;35733
587,75;58,775;35976;36132;35777
588,25;58,825;36023;36181;35821
588,75;58,875;36070;36229;35864
589,25;58,925;36116;36277;35908
589,75;58,975;36163;36326;35952
590,25;59,025;36210;36374;35996
590,75;59,075;36256;36422;36040
591,25;59,125;36301;36470;36084
591,75;59,175;36347;36519;36127
592,25;59,225;36394;36567;36171
592,75;59,275;36440;36615;36215
593,25;59,325;36487;36664;36259
593,75;59,375;36533;36712;36302
594,25;59,425;36580;36760;36346
594,75;59,475;36626;36809;36389
595,25;59,525;36672;36857;36432
595,75;59,575;36719;36906;36476
596,25;59,625;36765;36954;36519
596,75;59,675;36811;37003;36563
597,25;59,725;36858;37051;36607
597,75;59,775;36904;37100;36650
598,25;59,825;36950;37148;36694
598,75;59,875;36996;37197;36737
599,25;59,925;37042;37245;36780
599,75;59,975;37088;37294;36823
600,25;60,025;37134;37342;36867
600,75;60,075;37180;37391;36910
601,25;60,125;37227;37440;36953
601,75;60,175;37273;37488;36996
602,25;60,225;37320;37537;37039
602,75;60,275;37366;37585;37083
603,25;60,325;37412;37633;37126
603,75;60,375;37459;37681;37169
604,25;60,425;37505;37730;37212
604,75;60,475;37552;37778;37255
605,25;60,525;37599;37827;37299
605,75;60,575;37646;37876;37342
606,25;60,625;37693;37926;37386
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
