#Notes:;;;;
#Stalage + and Stalage - are upper and lower 95% CI;;;;
#Age in yrs BP = years before 1950 CE;;;;
Depth from top of stal (mm);Depth (cm);Age (yrs BP);Stalage +;Stalage -
93,75;9,375;4659;4717;4604
94,25;9,425;4680;4747;4627
94,75;9,475;4702;4779;4650
95,25;9,525;4723;4813;4674
95,75;9,575;4745;4847;4697
96,25;9,625;4767;4878;4719
96,75;9,675;4789;4906;4742
97,25;9,725;4811;4932;4764
97,75;9,775;4833;4955;4787
98,25;9,825;4855;4978;4809
98,75;9,875;4877;5001;4832
99,25;9,925;4899;5022;4854
99,75;9,975;4921;5044;4876
100,25;10,025;4943;5065;4897
100,75;10,075;4965;5087;4919
101,25;10,125;4987;5108;4940
101,75;10,175;5009;5129;4961
102,25;10,225;5032;5150;4983
102,75;10,275;5054;5170;5005
103,25;10,325;5076;5191;5027
103,75;10,375;5098;5211;5049
104,25;10,425;5121;5231;5070
104,75;10,475;5143;5250;5091
105,25;10,525;5165;5270;5112
105,75;10,575;5188;5289;5133
106,25;10,625;5210;5308;5154
106,75;10,775;5254;5348;5196
107,25;10,725;5276;5368;5216
107,75;10,775;5276;5368;5216
108,25;10,825;5297;5387;5237
108,75;10,875;5319;5407;5258
109,25;10,925;5341;5426;5279
109,75;10,975;5362;5445;5300
110,25;11,025;5384;5465;5321
110,75;11,075;5405;5484;5342
111,25;11,125;5427;5504;5363
111,75;11,175;5448;5523;5384
112,25;11,225;5469;5543;5405
112,75;11,275;5491;5563;5426
113,25;11,325;5512;5584;5446
113,75;11,375;5533;5604;5467
114,25;11,425;5554;5625;5487
114,75;11,475;5576;5645;5508
115,25;11,525;5597;5666;5528
115,75;11,575;5618;5687;5549
116,25;11,625;5639;5707;5569
116,75;11,675;5660;5728;5590
117,25;11,725;5681;5750;5610
117,75;11,775;5702;5771;5631
118,25;11,825;5722;5794;5651
118,75;11,875;5743;5817;5671
119,25;11,925;5764;5841;5692
119,75;11,975;5784;5864;5712
120,25;12,025;5805;5887;5733
120,75;12,075;5826;5910;5753
121,25;12,125;5847;5933;5773
121,75;12,175;5868;5959;5793
122,25;12,225;5888;5988;5814
122,75;12,275;5909;6021;5834
123,25;12,325;5930;6056;5854
123,75;12,375;5950;6094;5875
124,25;12,425;5971;6134;5895
124,75;12,475;5992;6173;5915
125,25;12,525;6013;6212;5936
125,75;12,575;6034;6248;5956
126,25;12,625;6055;6282;5977
126,75;12,675;6076;6311;5997
127,25;12,725;6096;6338;6017
127,75;12,775;6117;6362;6037
128,25;12,825;6138;6385;6057
