Assembly	MEGAHIT-group-EXB080_A1201
# contigs (>= 0 bp)	6078
# contigs (>= 1000 bp)	148
# contigs (>= 5000 bp)	8
# contigs (>= 10000 bp)	4
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	2769890
Total length (>= 1000 bp)	312157
Total length (>= 5000 bp)	83476
Total length (>= 10000 bp)	50646
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1217
Largest contig	15615
Total length	984787
GC (%)	54.62
N50	723
N75	574
L50	367
L75	755
# N's per 100 kbp	0.00
# predicted rRNA genes	0 + 1 part
