Assembly	MEGAHIT-group-TDM034
# contigs (>= 0 bp)	53078
# contigs (>= 1000 bp)	8981
# contigs (>= 5000 bp)	408
# contigs (>= 10000 bp)	91
# contigs (>= 25000 bp)	4
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	40170286
Total length (>= 1000 bp)	17924723
Total length (>= 5000 bp)	3487701
Total length (>= 10000 bp)	1314114
Total length (>= 25000 bp)	141541
Total length (>= 50000 bp)	0
# contigs	26789
Largest contig	42037
Total length	30189276
GC (%)	60.23
N50	1206
N75	759
L50	6398
L75	14423
# N's per 100 kbp	0.00
# predicted rRNA genes	3 + 2 part
