sample,taxon,genome
TDM003,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM003_nitrosotalea.fa
TDM037,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM037_nitrosotalea.fa
TDM027,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM027_nitrosotalea.fa
TDM013,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM013_nitrosotalea.fa
TDM053,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM053_nitrosotalea.fa
TDM052,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM052_nitrosotalea.fa
TDM060,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM060_nitrosotalea.fa
TDM005,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM005_nitrosotalea.fa
TDM043,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM043_nitrosotalea.fa
TDM014,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM014_nitrosotalea.fa
TDM023,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM023_nitrosotalea.fa
TDM015,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM015_nitrosotalea.fa
TDM054,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM054_nitrosotalea.fa
TDM024,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM024_nitrosotalea.fa
TDM007,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM007_nitrosotalea.fa
TDM034,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM034_nitrosotalea.fa
TDM016,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM016_nitrosotalea.fa
TDM008,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM008_nitrosotalea.fa
TDM012,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM012_nitrosotalea.fa
TDM022,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM022_nitrosotalea.fa
TDM006,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM006_nitrosotalea.fa
TDM057,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM057_nitrosotalea.fa
TDM010,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM010_nitrosotalea.fa
TDM045,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM045_nitrosotalea.fa
TDM028,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM028_nitrosotalea.fa
TDM025,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM025_nitrosotalea.fa
TDM046,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM046_nitrosotalea.fa
TDM020,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM020_nitrosotalea.fa
TDM011,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM011_nitrosotalea.fa
TDM039,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM039_nitrosotalea.fa
TDM031,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM031_nitrosotalea.fa
TDM002,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM002_nitrosotalea.fa
TDM029,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM029_nitrosotalea.fa
TDM004,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM004_nitrosotalea.fa
TDM021,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM021_nitrosotalea.fa
TDM040,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM040_nitrosotalea.fa
TDM044,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM044_nitrosotalea.fa
TDM048,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM048_nitrosotalea.fa
TDM018,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM018_nitrosotalea.fa
TDM026,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM026_nitrosotalea.fa
TDM041,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM041_nitrosotalea.fa
TDM032,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM032_nitrosotalea.fa
TDM059,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM059_nitrosotalea.fa
TDM047,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM047_nitrosotalea.fa
TDM050,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM050_nitrosotalea.fa
TDM058,nitrosotalea,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM058_nitrosotalea.fa
TDM033,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM033_candidatus_methylomirabilis.fa
TDM042,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM042_candidatus_methylomirabilis.fa
TDM056,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM056_candidatus_methylomirabilis.fa
TDM030,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM030_candidatus_methylomirabilis.fa
TDM038,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM038_candidatus_methylomirabilis.fa
TDM051,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM051_candidatus_methylomirabilis.fa
TDM017,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM017_candidatus_methylomirabilis.fa
TDM019,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM019_candidatus_methylomirabilis.fa
TDM055,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM055_candidatus_methylomirabilis.fa
TDM036,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM036_candidatus_methylomirabilis.fa
TDM003,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM003_candidatus_methylomirabilis.fa
TDM037,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM037_candidatus_methylomirabilis.fa
TDM027,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM027_candidatus_methylomirabilis.fa
TDM013,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM013_candidatus_methylomirabilis.fa
TDM053,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM053_candidatus_methylomirabilis.fa
TDM052,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM052_candidatus_methylomirabilis.fa
TDM060,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM060_candidatus_methylomirabilis.fa
TDM049,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM049_candidatus_methylomirabilis.fa
TDM005,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM005_candidatus_methylomirabilis.fa
TDM043,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM043_candidatus_methylomirabilis.fa
TDM014,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM014_candidatus_methylomirabilis.fa
TDM023,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM023_candidatus_methylomirabilis.fa
TDM015,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM015_candidatus_methylomirabilis.fa
TDM054,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM054_candidatus_methylomirabilis.fa
TDM024,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM024_candidatus_methylomirabilis.fa
TDM007,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM007_candidatus_methylomirabilis.fa
TDM034,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM034_candidatus_methylomirabilis.fa
TDM016,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM016_candidatus_methylomirabilis.fa
TDM008,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM008_candidatus_methylomirabilis.fa
TDM012,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM012_candidatus_methylomirabilis.fa
TDM022,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM022_candidatus_methylomirabilis.fa
TDM035,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM035_candidatus_methylomirabilis.fa
TDM006,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM006_candidatus_methylomirabilis.fa
TDM010,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM010_candidatus_methylomirabilis.fa
TDM045,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM045_candidatus_methylomirabilis.fa
TDM028,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM028_candidatus_methylomirabilis.fa
TDM025,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM025_candidatus_methylomirabilis.fa
TDM046,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM046_candidatus_methylomirabilis.fa
TDM020,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM020_candidatus_methylomirabilis.fa
TDM061,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM061_candidatus_methylomirabilis.fa
TDM011,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM011_candidatus_methylomirabilis.fa
TDM039,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM039_candidatus_methylomirabilis.fa
TDM031,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM031_candidatus_methylomirabilis.fa
TDM002,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM002_candidatus_methylomirabilis.fa
TDM029,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM029_candidatus_methylomirabilis.fa
TDM004,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM004_candidatus_methylomirabilis.fa
TDM021,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM021_candidatus_methylomirabilis.fa
TDM040,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM040_candidatus_methylomirabilis.fa
TDM048,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM048_candidatus_methylomirabilis.fa
TDM018,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM018_candidatus_methylomirabilis.fa
TDM026,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM026_candidatus_methylomirabilis.fa
TDM041,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM041_candidatus_methylomirabilis.fa
TDM032,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM032_candidatus_methylomirabilis.fa
TDM047,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM047_candidatus_methylomirabilis.fa
TDM050,candidatus_methylomirabilis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM050_candidatus_methylomirabilis.fa
