sample,taxon,genome
TDM044,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM044_nitrospira.fa
TDM048,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM048_nitrospira.fa
TDM018,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM018_nitrospira.fa
TDM026,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM026_nitrospira.fa
TDM041,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM041_nitrospira.fa
TDM032,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM032_nitrospira.fa
TDM059,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM059_nitrospira.fa
TDM047,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM047_nitrospira.fa
TDM050,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM050_nitrospira.fa
TDM058,nitrospira,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM058_nitrospira.fa
TDM033,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM033_conexibacter.fa
TDM042,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM042_conexibacter.fa
TDM056,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM056_conexibacter.fa
TDM030,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM030_conexibacter.fa
TDM001,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM001_conexibacter.fa
TDM038,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM038_conexibacter.fa
TDM051,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM051_conexibacter.fa
TDM017,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM017_conexibacter.fa
TDM019,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM019_conexibacter.fa
TDM055,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM055_conexibacter.fa
TDM036,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM036_conexibacter.fa
TDM003,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM003_conexibacter.fa
TDM037,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM037_conexibacter.fa
TDM027,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM027_conexibacter.fa
