Assembly	MEGAHIT-group-TDM019
# contigs (>= 0 bp)	50802
# contigs (>= 1000 bp)	11855
# contigs (>= 5000 bp)	1434
# contigs (>= 10000 bp)	487
# contigs (>= 25000 bp)	113
# contigs (>= 50000 bp)	27
Total length (>= 0 bp)	56820283
Total length (>= 1000 bp)	37661073
Total length (>= 5000 bp)	16956767
Total length (>= 10000 bp)	10450482
Total length (>= 25000 bp)	5014467
Total length (>= 50000 bp)	2025640
# contigs	26376
Largest contig	123023
Total length	47603450
GC (%)	57.51
N50	2850
N75	1161
L50	3284
L75	10037
# N's per 100 kbp	0.00
# predicted rRNA genes	6 + 2 part
