Assembly	MEGAHIT-group-TDM035
# contigs (>= 0 bp)	51742
# contigs (>= 1000 bp)	8787
# contigs (>= 5000 bp)	255
# contigs (>= 10000 bp)	50
# contigs (>= 25000 bp)	8
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	38335963
Total length (>= 1000 bp)	16883222
Total length (>= 5000 bp)	2172586
Total length (>= 10000 bp)	857893
Total length (>= 25000 bp)	291130
Total length (>= 50000 bp)	53994
# contigs	25677
Largest contig	53994
Total length	28448376
GC (%)	63.07
N50	1202
N75	751
L50	6355
L75	13956
# N's per 100 kbp	0.00
# predicted rRNA genes	2 + 0 part
