Assembly	MEGAHIT-group-TDM036
# contigs (>= 0 bp)	26154
# contigs (>= 1000 bp)	5160
# contigs (>= 5000 bp)	540
# contigs (>= 10000 bp)	164
# contigs (>= 25000 bp)	25
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	24614868
Total length (>= 1000 bp)	14306261
Total length (>= 5000 bp)	5375124
Total length (>= 10000 bp)	2840389
Total length (>= 25000 bp)	853242
Total length (>= 50000 bp)	69233
# contigs	12878
Largest contig	69233
Total length	19590363
GC (%)	60.66
N50	2131
N75	943
L50	1938
L75	5558
# N's per 100 kbp	0.00
# predicted rRNA genes	3 + 1 part
