Assembly	MEGAHIT-group-TDM002
# contigs (>= 0 bp)	80131
# contigs (>= 1000 bp)	18675
# contigs (>= 5000 bp)	2248
# contigs (>= 10000 bp)	617
# contigs (>= 25000 bp)	80
# contigs (>= 50000 bp)	9
Total length (>= 0 bp)	84817480
Total length (>= 1000 bp)	54437433
Total length (>= 5000 bp)	21732526
Total length (>= 10000 bp)	10569443
Total length (>= 25000 bp)	2922188
Total length (>= 50000 bp)	553856
# contigs	42060
Largest contig	78641
Total length	70424682
GC (%)	60.00
N50	2541
N75	1079
L50	6106
L75	17117
# N's per 100 kbp	0.00
# predicted rRNA genes	7 + 5 part
