Assembly	MEGAHIT-group-EXB080_A0101
# contigs (>= 0 bp)	500
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	126525
Total length (>= 1000 bp)	1580
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	1580
Total length	7926
GC (%)	53.47
N50	714
N75	525
L50	4
L75	8
# N's per 100 kbp	0.00
# predicted rRNA genes	0 + 0 part
