Assembly	MEGAHIT-group-TDM053
# contigs (>= 0 bp)	24806
# contigs (>= 1000 bp)	5574
# contigs (>= 5000 bp)	462
# contigs (>= 10000 bp)	92
# contigs (>= 25000 bp)	5
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	23206127
Total length (>= 1000 bp)	13646467
Total length (>= 5000 bp)	3837158
Total length (>= 10000 bp)	1326980
Total length (>= 25000 bp)	194140
Total length (>= 50000 bp)	53089
# contigs	12901
Largest contig	53089
Total length	18698183
GC (%)	61.01
N50	1884
N75	948
L50	2375
L75	5962
# N's per 100 kbp	0.00
# predicted rRNA genes	2 + 0 part
