Assembly	MEGAHIT-group-TDM016
# contigs (>= 0 bp)	48549
# contigs (>= 1000 bp)	12436
# contigs (>= 5000 bp)	1044
# contigs (>= 10000 bp)	230
# contigs (>= 25000 bp)	19
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	49864394
Total length (>= 1000 bp)	31358692
Total length (>= 5000 bp)	9051875
Total length (>= 10000 bp)	3572901
Total length (>= 25000 bp)	668145
Total length (>= 50000 bp)	57303
# contigs	27570
Largest contig	57303
Total length	41854953
GC (%)	60.44
N50	2042
N75	997
L50	4953
L75	12469
# N's per 100 kbp	0.00
# predicted rRNA genes	7 + 1 part
