Assembly	MEGAHIT-group-TDM055
# contigs (>= 0 bp)	19903
# contigs (>= 1000 bp)	3500
# contigs (>= 5000 bp)	115
# contigs (>= 10000 bp)	9
# contigs (>= 25000 bp)	2
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	14792300
Total length (>= 1000 bp)	6843620
Total length (>= 5000 bp)	850860
Total length (>= 10000 bp)	176333
Total length (>= 25000 bp)	93510
Total length (>= 50000 bp)	64176
# contigs	9321
Largest contig	64176
Total length	10836820
GC (%)	59.24
N50	1317
N75	789
L50	2250
L75	4949
# N's per 100 kbp	0.00
# predicted rRNA genes	2 + 1 part
