Assembly	MEGAHIT-group-TDM008
# contigs (>= 0 bp)	32102
# contigs (>= 1000 bp)	8717
# contigs (>= 5000 bp)	1041
# contigs (>= 10000 bp)	257
# contigs (>= 25000 bp)	26
# contigs (>= 50000 bp)	2
Total length (>= 0 bp)	36833252
Total length (>= 1000 bp)	24975978
Total length (>= 5000 bp)	9509219
Total length (>= 10000 bp)	4230465
Total length (>= 25000 bp)	927371
Total length (>= 50000 bp)	165853
# contigs	18316
Largest contig	104897
Total length	31594826
GC (%)	62.83
N50	2584
N75	1147
L50	2834
L75	7521
# N's per 100 kbp	0.00
# predicted rRNA genes	2 + 1 part
