Assembly	MEGAHIT-group-TDM045
# contigs (>= 0 bp)	31352
# contigs (>= 1000 bp)	5249
# contigs (>= 5000 bp)	209
# contigs (>= 10000 bp)	34
# contigs (>= 25000 bp)	5
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	22218832
Total length (>= 1000 bp)	10774244
Total length (>= 5000 bp)	1685575
Total length (>= 10000 bp)	527932
Total length (>= 25000 bp)	162250
Total length (>= 50000 bp)	0
# contigs	12978
Largest contig	39904
Total length	16117029
GC (%)	60.21
N50	1437
N75	838
L50	2976
L75	6688
# N's per 100 kbp	0.00
# predicted rRNA genes	2 + 0 part
