Assembly	MEGAHIT-group-TDM040
# contigs (>= 0 bp)	22696
# contigs (>= 1000 bp)	4547
# contigs (>= 5000 bp)	292
# contigs (>= 10000 bp)	33
# contigs (>= 25000 bp)	2
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	19211484
Total length (>= 1000 bp)	10062589
Total length (>= 5000 bp)	2172672
Total length (>= 10000 bp)	481958
Total length (>= 25000 bp)	74404
Total length (>= 50000 bp)	0
# contigs	11882
Largest contig	39744
Total length	15102773
GC (%)	58.51
N50	1519
N75	830
L50	2480
L75	5937
# N's per 100 kbp	0.00
# predicted rRNA genes	1 + 0 part
