Assembly	MEGAHIT-group-TDM052
# contigs (>= 0 bp)	29185
# contigs (>= 1000 bp)	4603
# contigs (>= 5000 bp)	110
# contigs (>= 10000 bp)	11
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	20602005
Total length (>= 1000 bp)	8119507
Total length (>= 5000 bp)	784752
Total length (>= 10000 bp)	141055
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14767
Largest contig	23927
Total length	15099456
GC (%)	60.27
N50	1066
N75	717
L50	4051
L75	8425
# N's per 100 kbp	0.00
# predicted rRNA genes	3 + 2 part
