Assembly	MEGAHIT-group-TDM015
# contigs (>= 0 bp)	42869
# contigs (>= 1000 bp)	8707
# contigs (>= 5000 bp)	617
# contigs (>= 10000 bp)	158
# contigs (>= 25000 bp)	20
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	37718055
Total length (>= 1000 bp)	20955072
Total length (>= 5000 bp)	5774092
Total length (>= 10000 bp)	2659283
Total length (>= 25000 bp)	752638
Total length (>= 50000 bp)	181130
# contigs	21324
Largest contig	181130
Total length	29593655
GC (%)	64.24
N50	1749
N75	897
L50	3981
L75	10018
# N's per 100 kbp	0.00
# predicted rRNA genes	4 + 1 part
