Assembly	MEGAHIT-group-TDM047
# contigs (>= 0 bp)	21550
# contigs (>= 1000 bp)	3170
# contigs (>= 5000 bp)	278
# contigs (>= 10000 bp)	107
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	16183122
Total length (>= 1000 bp)	8341093
Total length (>= 5000 bp)	3105985
Total length (>= 10000 bp)	1916238
Total length (>= 25000 bp)	488243
Total length (>= 50000 bp)	54307
# contigs	8220
Largest contig	54307
Total length	11801623
GC (%)	62.20
N50	1792
N75	891
L50	1301
L75	3711
# N's per 100 kbp	0.00
# predicted rRNA genes	1 + 2 part
