Assembly	MEGAHIT-group-TDM007
# contigs (>= 0 bp)	26105
# contigs (>= 1000 bp)	9192
# contigs (>= 5000 bp)	1564
# contigs (>= 10000 bp)	523
# contigs (>= 25000 bp)	51
# contigs (>= 50000 bp)	5
Total length (>= 0 bp)	40088542
Total length (>= 1000 bp)	31240265
Total length (>= 5000 bp)	15602786
Total length (>= 10000 bp)	8438425
Total length (>= 25000 bp)	1725528
Total length (>= 50000 bp)	264396
# contigs	16722
Largest contig	60195
Total length	36525884
GC (%)	63.47
N50	3895
N75	1520
L50	2171
L75	6061
# N's per 100 kbp	0.00
# predicted rRNA genes	6 + 2 part
