Assembly	MEGAHIT-group-TDM039
# contigs (>= 0 bp)	23459
# contigs (>= 1000 bp)	3938
# contigs (>= 5000 bp)	159
# contigs (>= 10000 bp)	26
# contigs (>= 25000 bp)	3
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	17563256
Total length (>= 1000 bp)	7952392
Total length (>= 5000 bp)	1305103
Total length (>= 10000 bp)	455009
Total length (>= 25000 bp)	140068
Total length (>= 50000 bp)	60571
# contigs	11346
Largest contig	60571
Total length	12996466
GC (%)	58.13
N50	1262
N75	765
L50	2633
L75	6009
# N's per 100 kbp	0.00
# predicted rRNA genes	1 + 0 part
